ItemID,DataID,N_RivID,N_SiteID,samID,Continent,Country,RefID,RiverName,Primer,Year,Month,Lon,Lat,SR
I010,D004,NR005,S008,I010_S008,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-40.58462222,-16.14061111,22
I010,D004,NR005,S009,I010_S009,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-39.8916,-15.99751944,14
I010,D004,NR005,S010,I010_S010,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-39.52418889,-15.94935833,18
I010,D004,NR005,S011,I010_S011,South_America,Brasil,Ref004,Jequitinhonha River,MiFish,2017,3,-38.87046111,-15.85000556,18
I011,D005,NR006,S001,I011_S001,Europe,France,CD38,Rhone River,Teleo,2016,4,5.7767573,45.77875777,4
I011,D005,NR006,S002,I011_S002,Europe,France,CD38,Rhone River,Teleo,2016,4,5.54855485,45.71269302,34
I011,D005,NR006,S003,I011_S003,Europe,France,CD38,Rhone River,Teleo,2016,4,5.54826777,45.71237055,33
I011,D005,NR006,S004,I011_S004,Europe,France,CD38,Rhone River,Teleo,2016,4,4.82138981,45.73633726,25
I011,D005,NR006,S005,I011_S005,Europe,France,CD38,Rhone River,Teleo,2016,4,4.82939489,45.7452995,27
I011,D005,NR006,S006,I011_S006,Europe,France,CD38,Rhone River,Teleo,2016,4,4.81477959,45.64592974,16
I011,D005,NR006,S007,I011_S007,Europe,France,CD38,Rhone River,Teleo,2016,4,4.8171319,45.64588301,25
I011,D005,NR006,S008,I011_S008,Europe,France,CD38,Rhone River,Teleo,2016,4,4.82207463,45.64781449,25
I011,D005,NR006,S009,I011_S009,Europe,France,CD38,Rhone River,Teleo,2016,4,4.80122235,45.24215377,30
I011,D005,NR006,S010,I011_S010,Europe,France,CD38,Rhone River,Teleo,2016,4,4.80167795,45.24216072,32
I011,D005,NR006,S011,I011_S011,Europe,France,CD38,Rhone River,Teleo,2016,4,4.75353874,45.37469508,29
I011,D005,NR006,S012,I011_S012,Europe,France,CD38,Rhone River,Teleo,2016,4,4.65039512,44.36721425,25
I011,D005,NR006,S013,I011_S013,Europe,France,CD38,Rhone River,Teleo,2016,4,4.84407898,44.02235061,16
I011,D005,NR006,S014,I011_S014,Europe,France,CD38,Rhone River,Teleo,2016,4,4.79390098,43.95328014,31
I011,D005,NR006,S015,I011_S015,Europe,France,CD38,Rhone River,Teleo,2016,4,4.79371817,43.95333792,28
I011,D005,NR006,S016,I011_S016,Europe,France,CD38,Rhone River,Teleo,2016,4,4.7992672,43.95146512,32
I011,D005,NR006,S017,I011_S017,Europe,France,CD38,Rhone River,Teleo,2016,4,4.79950224,43.95139099,33
I011,D005,NR006,S018,I011_S018,Europe,France,CD38,Rhone River,Teleo,2016,4,4.69243556,43.8949235,16
I011,D005,NR006,S019,I011_S019,Europe,France,CD38,Rhone River,Teleo,2016,4,4.8351705,45.0683753,31
I011,D005,NR006,S020,I011_S020,Europe,France,CD38,Rhone River,Teleo,2016,4,4.83500997,45.06809438,28
I011,D005,NR006,S021,I011_S021,Europe,France,CD38,Rhone River,Teleo,2016,4,5.34739226,45.88277599,31
